Date	City	Kilometers
2019-06-10	3R	0
2019-06-10	G6	8
2019-06-10	XA	28
2019-06-10	0F	35
2019-06-10	6T	20
2019-06-11	SZ	35
2019-06-11	2U	38
2019-06-11	HB	3
2019-06-11	I9	8
2019-06-11	9R	9
2019-06-11	DP	9
2019-06-11	80	44
2019-06-11	VS	65
2019-06-11	HF	27
2019-06-11	XQ	27
2019-06-11	T3	34
2019-06-11	4I	10
2019-06-11	UZ	50
2019-06-11	L5	46
2019-06-11	9N	6
2019-06-11	M0	10
2019-06-11	YP	44
2019-06-11	YO	1
2019-06-11	6Z	24
2019-06-11	FX	14
2019-06-11	VH	0
2019-06-11	1G	38
2019-06-11	WH	39
2019-06-11	8N	25
2019-06-12	3O	4
2019-06-12	AJ	9
2019-06-12	KN	14
2019-06-12	V4	15
2019-06-12	TM	23
2019-06-12	6M	30
2019-06-12	GA	5
2019-06-12	5J	9
2019-06-12	2P	3
2019-06-12	6H	4
2019-06-12	4X	14
2019-06-12	SA	8
2019-06-12	KL	3
2019-06-12	9B	28
2019-06-12	V8	19
2019-06-12	93	34
2019-06-12	PC	39
2019-06-12	X9	2
2019-06-12	F3	24
2019-06-12	RL	37
2019-06-12	GE	18
2019-06-12	UG	16
2019-06-12	85	47
2019-06-12	MT	52
2019-06-13	JZ	3
2019-06-13	1L	39
2019-06-13	9F	2
2019-06-13	LG	20
2019-06-13	RP	15
2019-06-13	PT	2
2019-06-13	DK	21
2019-06-13	OX	24
2019-06-13	BH	29
2019-06-13	LV	24
2019-06-13	ZS	11
2019-06-13	1D	56
2019-06-13	17	13
2019-06-13	BN	40
2019-06-13	50	43
2019-06-13	6K	28
2019-06-13	MC	15
2019-06-13	QV	23
2019-06-13	GE	27
2019-06-13	DM	5
2019-06-13	9W	1
2019-06-13	D3	25
2019-06-13	IY	43
2019-06-13	A1	48
2019-06-14	DU	39
2019-06-14	YE	5
2019-06-14	31	58
2019-06-14	DZ	58
2019-06-14	AX	5
2019-06-14	B0	39
2019-06-14	4Q	19
2019-06-14	L2	7
2019-06-14	N2	2
2019-06-14	FV	28
2019-06-14	MX	9
2019-06-14	H2	43
2019-06-14	IU	36
2019-06-14	5O	26
2019-06-14	VQ	35
2019-06-14	LJ	17
2019-06-14	ER	1
2019-06-14	BX	3
2019-06-14	FS	1
2019-06-14	2X	15
2019-06-14	OG	12
2019-06-14	TE	3
2019-06-14	GW	5
2019-06-14	Y1	20
2019-06-15	MV	25
2019-06-15	BU	12
2019-06-15	QX	18
2019-06-15	SI	13
2019-06-15	QV	11
2019-06-15	AP	22
2019-06-15	ZF	15
2019-06-15	9R	21
2019-06-15	FC	2
2019-06-15	61	34
2019-06-15	3M	25
2019-06-15	8H	0
2019-06-15	A0	15
2019-06-15	WM	51
2019-06-15	H6	38
2019-06-15	X3	13
2019-06-15	RT	27
2019-06-15	AZ	11
2019-06-15	OA	11
2019-06-15	ZO	25
2019-06-15	5O	37
2019-06-15	6P	2
2019-06-15	Q6	1
2019-06-15	X4	5
2019-06-16	0X	4
2019-06-16	YW	40
2019-06-16	OQ	16
2019-06-16	4C	41
2019-06-16	AT	30
2019-06-16	2N	21
2019-06-16	RZ	44
2019-06-16	F9	45
2019-06-16	56	20
2019-06-16	GR	46
2019-06-16	S3	19
2019-06-16	XI	27
2019-06-16	2N	33
2019-06-16	AC	4
2019-06-16	SZ	41
2019-06-16	Q0	44
2019-06-16	DR	21
2019-06-16	BT	0
2019-06-16	XU	23
2019-06-16	AN	30
2019-06-16	60	41
2019-06-16	UY	72
2019-06-16	VO	9
2019-06-16	GJ	20
2019-06-17	DP	3
2019-06-17	11	50
2019-06-17	JX	64
2019-06-17	BD	28
2019-06-17	Q6	1
2019-06-17	EF	4
2019-06-17	21	40
2019-06-17	KH	48
2019-06-17	94	38
2019-06-17	LD	35
2019-06-17	2J	20
2019-06-17	9G	4
2019-06-17	ZO	41
2019-06-17	W5	29
2019-06-17	KL	11
2019-06-17	RH	3
2019-06-17	BA	23
2019-06-17	8P	5
2019-06-17	3F	15
2019-06-17	8T	19
2019-06-17	P4	8
2019-06-17	JD	10
2019-06-17	VD	12
2019-06-17	HL	6
2019-06-18	22	48
2019-06-18	SI	56
2019-06-18	J4	30
2019-06-18	HW	33
2019-06-18	X5	18
2019-06-18	WV	32
2019-06-18	Y9	27
2019-06-18	G3	24
2019-06-18	E2	3
2019-06-18	BS	30
2019-06-18	JV	11
2019-06-18	9Q	22
2019-06-18	VL	24
2019-06-18	3U	26
2019-06-18	CV	17
2019-06-18	SI	3
2019-06-18	MW	8
2019-06-18	OS	2
2019-06-18	X7	19
2019-06-18	BJ	3
2019-06-18	S7	2
2019-06-18	LX	26
2019-06-18	1T	31
2019-06-18	KT	26
2019-06-19	8N	25
2019-06-19	PL	22
2019-06-19	8Z	10
2019-06-19	5C	26
2019-06-19	GD	19
2019-06-19	ZZ	41
2019-06-19	J6	52
2019-06-19	3D	9
2019-06-19	6E	4
2019-06-19	9Q	15
2019-06-19	VT	32
2019-06-19	J9	39
2019-06-19	36	26
2019-06-19	5M	25
2019-06-19	I4	5
2019-06-19	FZ	35
2019-06-19	RZ	12
2019-06-19	U9	30
2019-06-19	K3	16
2019-06-19	XB	28
2019-06-19	7P	19
2019-06-19	47	28
2019-06-19	AV	44
2019-06-19	IZ	12
2019-06-20	5K	35
2019-06-20	F8	2
2019-06-20	AP	19
2019-06-20	C5	25
2019-06-20	ZR	52
2019-06-20	FR	20
2019-06-20	8B	30
2019-06-20	SS	44
2019-06-20	KT	7
2019-06-20	Z7	14
2019-06-20	IP	8
2019-06-20	T3	18
2019-06-20	TF	19
2019-06-20	S3	20
2019-06-20	8P	2
2019-06-20	IU	22
2019-06-20	XN	8
2019-06-20	AN	23
2019-06-20	CO	3
2019-06-20	VH	12
